model,consume_profile_label,policy,policy_label,lambda_req_s,threshold_key,threshold_label,threshold_value,threshold_mode,selection_rank,mean_admitted_inflight_requests,selected_max_num_seqs,unit_deadline_miss_rate,valid_consumable_unit_count,violated_unit_count,run_count
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,64.0,conservative,Conservative (<0.5%),0.005,lt,1,820.3550865535075,256,0.000281928390188892,14188.0,4.0,1
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,64.0,conservative,Conservative (<0.5%),0.005,lt,2,656.8617780029028,128,0.00015186028853454822,13170.0,2.0,1
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,80.0,conservative,Conservative (<0.5%),0.005,lt,1,758.3949354001966,256,0.00020008003201280514,14994.0,3.0,1
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,80.0,conservative,Conservative (<0.5%),0.005,lt,2,682.6043906048708,128,0.0001544878727019929,12946.0,2.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,8.0,relaxed,Relaxed (<1%),0.01,lt,1,255.98339362748854,256,0.0010625110678236232,22588.0,24.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,8.0,relaxed,Relaxed (<1%),0.01,lt,2,127.99347028613037,128,0.0,23292.0,0.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,16.0,relaxed,Relaxed (<1%),0.01,lt,1,255.99438042174063,256,0.0010137964473046239,22687.0,23.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,16.0,relaxed,Relaxed (<1%),0.01,lt,2,127.99911204377898,128,0.0,22997.0,0.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,32.0,relaxed,Relaxed (<1%),0.01,lt,1,255.98934151358,256,0.0011343309628724751,22921.0,26.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,32.0,relaxed,Relaxed (<1%),0.01,lt,2,127.99875169764688,128,0.0,22713.0,0.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,48.0,relaxed,Relaxed (<1%),0.01,lt,1,255.9921822609314,256,0.0010427075639744536,23017.0,24.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,48.0,relaxed,Relaxed (<1%),0.01,lt,2,127.99780444549832,128,0.0,22900.0,0.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,64.0,relaxed,Relaxed (<1%),0.01,lt,1,255.99116227358073,256,0.000966353333919002,22766.0,22.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,64.0,relaxed,Relaxed (<1%),0.01,lt,2,127.99822037180701,128,0.0,23223.0,0.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,80.0,relaxed,Relaxed (<1%),0.01,lt,1,255.9923518470217,256,0.0006010647432594882,23292.0,14.0,1
Qwen/Qwen3.5-9B,Reading,baseline,Baseline,80.0,relaxed,Relaxed (<1%),0.01,lt,2,127.99905661038936,128,4.3784754148605455e-05,22839.0,1.0,1
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,8.0,relaxed,Relaxed (<1%),0.01,lt,1,471.2448662203516,256,0.00038955979742890534,15402.0,6.0,1
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,8.0,relaxed,Relaxed (<1%),0.01,lt,2,392.22667880280807,128,0.0011486079964994804,18283.0,21.0,1
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,16.0,relaxed,Relaxed (<1%),0.01,lt,1,768.3373040396239,256,0.0009677865339416563,14466.0,14.0,1
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,16.0,relaxed,Relaxed (<1%),0.01,lt,2,663.6826542190817,128,0.0006976203395085652,12901.0,9.0,1
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,32.0,relaxed,Relaxed (<1%),0.01,lt,1,809.4242571891617,256,0.0006213753106876554,14484.0,9.0,1
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,32.0,relaxed,Relaxed (<1%),0.01,lt,2,622.6861151566361,128,0.00014894250819183795,13428.0,2.0,1
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,48.0,relaxed,Relaxed (<1%),0.01,lt,1,807.253003851978,256,0.0003595828838547285,13905.0,5.0,1
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,48.0,relaxed,Relaxed (<1%),0.01,lt,2,662.6028798865026,128,7.560293339381567e-05,13227.0,1.0,1
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,64.0,relaxed,Relaxed (<1%),0.01,lt,1,820.3550865535075,256,0.000281928390188892,14188.0,4.0,1
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,64.0,relaxed,Relaxed (<1%),0.01,lt,2,656.8617780029028,128,0.00015186028853454822,13170.0,2.0,1
Qwen/Qwen3.5-9B,Reading,sslo,ProgressServe,80.0,relaxed,Relaxed (<1%),0.01,lt,1,758.3949354001966,256,0.00020008003201280514,14994.0,3.0,1
